热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G13-0026,SCN-G13-06,旧核心手动维修-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得旧核心手动维修所需工具或证据,提示缩小范围,找物完成,OBJ-G13-007
HS-G13-0027,SCN-G13-06,旧核心手动维修-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进旧核心手动维修对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-007
HS-G13-0028,SCN-G13-06,旧核心手动维修-完成确认,完成确认,提交/确认,机制条件全部满足,完成旧核心手动维修并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-007
HS-G13-0029,SCN-G13-07,最终权限解除-调查证据,调查证据,点击/扫描,进入场景,记录最终权限解除的关键证据,无,已读,OBJ-G13-008
HS-G13-0030,SCN-G13-07,最终权限解除-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得最终权限解除所需工具或证据,提示缩小范围,找物完成,OBJ-G13-008
HS-G13-0031,SCN-G13-07,最终权限解除-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进最终权限解除对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-008
HS-G13-0032,SCN-G13-07,最终权限解除-完成确认,完成确认,提交/确认,机制条件全部满足,完成最终权限解除并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-008
HS-G13-0033,SCN-G13-08,结局选择-调查证据,调查证据,点击/扫描,进入场景,记录结局选择的关键证据,无,已读,OBJ-G13-009
HS-G13-0034,SCN-G13-08,结局选择-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得结局选择所需工具或证据,提示缩小范围,找物完成,OBJ-G13-009
HS-G13-0035,SCN-G13-08,结局选择-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进结局选择对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-009
HS-G13-0036,SCN-G13-08,结局选择-完成确认,完成确认,提交/确认,机制条件全部满足,完成结局选择并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-009
HS-G13-0037,SCN-G13-09,全章回顾-调查证据,调查证据,点击/扫描,进入场景,记录全章回顾的关键证据,无,已读,OBJ-G13-010
HS-G13-0038,SCN-G13-09,全章回顾-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得全章回顾所需工具或证据,提示缩小范围,找物完成,OBJ-G13-010
HS-G13-0039,SCN-G13-09,全章回顾-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进全章回顾对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-010
HS-G13-0040,SCN-G13-09,全章回顾-完成确认,完成确认,提交/确认,机制条件全部满足,完成全章回顾并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-010
