热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G10-0029,SCN-G10-07,玄冥权限解除-调查证据,调查证据,点击/扫描,进入场景,记录玄冥权限解除的关键证据,无,已读,OBJ-G10-008
HS-G10-0030,SCN-G10-07,玄冥权限解除-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得玄冥权限解除所需工具或证据,提示缩小范围,找物完成,OBJ-G10-008
HS-G10-0031,SCN-G10-07,玄冥权限解除-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进玄冥权限解除对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-008
HS-G10-0032,SCN-G10-07,玄冥权限解除-完成确认,完成确认,提交/确认,机制条件全部满足,完成玄冥权限解除并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-008
HS-G10-0033,SCN-G10-08,云港恢复-调查证据,调查证据,点击/扫描,进入场景,记录云港恢复的关键证据,无,已读,OBJ-G10-009
HS-G10-0034,SCN-G10-08,云港恢复-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得云港恢复所需工具或证据,提示缩小范围,找物完成,OBJ-G10-009
HS-G10-0035,SCN-G10-08,云港恢复-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进云港恢复对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-009
HS-G10-0036,SCN-G10-08,云港恢复-完成确认,完成确认,提交/确认,机制条件全部满足,完成云港恢复并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-009
HS-G10-0037,SCN-G10-09,回访与结算-调查证据,调查证据,点击/扫描,进入场景,记录回访与结算的关键证据,无,已读,OBJ-G10-010
HS-G10-0038,SCN-G10-09,回访与结算-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得回访与结算所需工具或证据,提示缩小范围,找物完成,OBJ-G10-010
HS-G10-0039,SCN-G10-09,回访与结算-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进回访与结算对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-010
HS-G10-0040,SCN-G10-09,回访与结算-完成确认,完成确认,提交/确认,机制条件全部满足,完成回访与结算并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-010
