资产ID,星球编号,星球/范围,场景名称,状态,优先级,交付状态
SCN-053,G08,钟摆之城,地核大摆厅,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-054,G09,棋阵卫星,翻面登陆盘,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-055,G09,棋阵卫星,坐标街,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-056,G09,棋阵卫星,孔明棋维修区,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-057,G09,棋阵卫星,五连封锁带,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-058,G09,棋阵卫星,弃子深井,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-059,G09,棋阵卫星,中央十二席棋盘,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-060,G09,棋阵卫星,第零格核心,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-061,G10,概率云港,漂流码头,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-062,G10,概率云港,四风广场,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-063,G10,概率云港,货运云仓,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-064,G10,概率云港,气象观测园,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-065,G10,概率云港,概率航路,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-066,G10,概率云港,数据灯塔,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-067,G10,概率云港,毕方风暴巢,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-068,G11,立体工厂,折叠登陆台,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-069,G11,立体工厂,六面检测廊,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-070,G11,立体工厂,展开图车间,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-071,G11,立体工厂,单位方块仓,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-072,G11,立体工厂,透明装配牢,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-073,G11,立体工厂,零缝压缩区,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-074,G11,立体工厂,刑天总装塔,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-075,G12,百工星环,万用码头,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-076,G12,百工星环,百料仓库,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-077,G12,百工星环,模块工坊群,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-078,G12,百工星环,方舟总装坞,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-079,G12,百工星环,风暴试验场,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-080,G12,百工星环,应龙天衡台,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-081,G12,百工星环,第零船坞,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-082,G13,零号地球,方舟坠落带,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-083,G13,零号地球,最后一天街区,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-084,G13,零号地球,十二档案环,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-085,G13,零号地球,记忆海,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-086,G13,零号地球,白布森林,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-087,G13,零号地球,方舟演算核心,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-088,G13,零号地球,新生家园台,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-089,GLOBAL,全局,织星天文台,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-090,GLOBAL,全局,拾光号驾驶舱/生活舱,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-091,GLOBAL,全局,十二星门航行与星图空间,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
