资产ID,范围,星球,界面名称,类别,分批,独立设计板,确认状态,冻结版本
UI-025,G05,刻度冰原,量杯上涨机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-026,G05,刻度冰原,误差带测量机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-027,G05,刻度冰原,薄冰安全路线机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-028,G06,分片群岛,九片航线重组机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-029,G06,分片群岛,缺口表归并机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-030,G06,分片群岛,比例桥材切分机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-031,G06,分片群岛,岛链能源配比机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-032,G07,方格城,城门平移一格机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-033,G07,方格城,最后一块空地机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-034,G07,方格城,周长封锁线机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-035,G07,方格城,三角支撑网机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
UI-036,G08,钟摆之城,三钟同步机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-037,G08,钟摆之城,窗口行动链机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-038,G08,钟摆之城,循环日志保留机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-039,G08,钟摆之城,相位门阵机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-040,G09,棋阵卫星,翻面坐标盘机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-041,G09,棋阵卫星,棋子能力推演机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-042,G09,棋阵卫星,真假规则链机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-043,G09,棋阵卫星,双盘同步机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-044,G10,概率云港,风向样本墙机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-045,G10,概率云港,货箱抽样调查机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-046,G10,概率云港,概率门阵机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-047,G10,概率云港,天气决策板机制界面,机制UI,UI-C,已检出,已确认冻结,V2.0
UI-048,G11,立体工厂,三视图装配机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-049,G11,立体工厂,空间装箱线机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-050,G11,立体工厂,受力分散阵机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-051,G11,立体工厂,关节避障序列机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-052,G12,百工星环,多工序依赖网机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-053,G12,百工星环,跨接口接驳机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-054,G12,百工星环,风暴姿态稳定机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-055,G12,百工星环,质量复核闭环机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-056,G13,零号地球,十二星数据闭环机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-057,G13,零号地球,文明样本唤醒机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-058,G13,零号地球,历史真相拼合机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-059,G13,零号地球,最终手动维修机制界面,机制UI,UI-D,已检出,已确认冻结,V2.0
UI-060,G02,锈环星,管理员对话/权限解除界面,章节管理员UI,UI-A,已检出,已确认冻结,V2.0
UI-061,G02,锈环星,世界改变/学习结算,章节结算UI,UI-A,已检出,已确认冻结,V2.0
UI-062,G03,齿轮荒原,管理员对话/权限解除界面,章节管理员UI,UI-A,已检出,已确认冻结,V2.0
UI-063,G03,齿轮荒原,世界改变/学习结算,章节结算UI,UI-A,已检出,已确认冻结,V2.0
UI-064,G04,镜面沙海,管理员对话/权限解除界面,章节管理员UI,UI-A,已检出,已确认冻结,V2.0
UI-065,G04,镜面沙海,世界改变/学习结算,章节结算UI,UI-A,已检出,已确认冻结,V2.0
UI-066,G05,刻度冰原,管理员对话/权限解除界面,章节管理员UI,UI-B,已检出,已确认冻结,V2.0
UI-067,G05,刻度冰原,世界改变/学习结算,章节结算UI,UI-B,已检出,已确认冻结,V2.0
UI-068,G06,分片群岛,管理员对话/权限解除界面,章节管理员UI,UI-B,已检出,已确认冻结,V2.0
UI-069,G06,分片群岛,世界改变/学习结算,章节结算UI,UI-B,已检出,已确认冻结,V2.0
UI-070,G07,方格城,管理员对话/权限解除界面,章节管理员UI,UI-B,已检出,已确认冻结,V2.0
UI-071,G07,方格城,世界改变/学习结算,章节结算UI,UI-B,已检出,已确认冻结,V2.0
UI-072,G08,钟摆之城,管理员对话/权限解除界面,章节管理员UI,UI-C,已检出,已确认冻结,V2.0
UI-073,G08,钟摆之城,世界改变/学习结算,章节结算UI,UI-C,已检出,已确认冻结,V2.0
UI-074,G09,棋阵卫星,管理员对话/权限解除界面,章节管理员UI,UI-C,已检出,已确认冻结,V2.0
UI-075,G09,棋阵卫星,世界改变/学习结算,章节结算UI,UI-C,已检出,已确认冻结,V2.0
UI-076,G10,概率云港,管理员对话/权限解除界面,章节管理员UI,UI-C,已检出,已确认冻结,V2.0
UI-077,G10,概率云港,世界改变/学习结算,章节结算UI,UI-C,已检出,已确认冻结,V2.0
UI-078,G11,立体工厂,管理员对话/权限解除界面,章节管理员UI,UI-D,已检出,已确认冻结,V2.0
UI-079,G11,立体工厂,世界改变/学习结算,章节结算UI,UI-D,已检出,已确认冻结,V2.0
UI-080,G12,百工星环,管理员对话/权限解除界面,章节管理员UI,UI-D,已检出,已确认冻结,V2.0
UI-081,G12,百工星环,世界改变/学习结算,章节结算UI,UI-D,已检出,已确认冻结,V2.0
UI-082,G13,零号地球,管理员对话/权限解除界面,章节管理员UI,UI-D,已检出,已确认冻结,V2.0
UI-083,G13,零号地球,世界改变/学习结算与结局,章节结算UI,UI-D,已检出,已确认冻结,V2.0
