热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G03-0016,SCN-G03-03,隐藏能源箱,拾取热点,七码分析,标签校验完成,取得传动齿轮,未完成时不可见,消失,OBJ-G03-008
HS-G03-0017,SCN-G03-04,订单原稿层,文书热点,拖拽纸片,进入印刷台,恢复原始订单字段,错误片退回,已拼合,OBJ-G03-009
HS-G03-0018,SCN-G03-04,改写油墨层,调查热点,镜面放大,原稿拼合,识别被覆盖字段,无,已验证,OBJ-G03-009
HS-G03-0019,SCN-G03-04,印章时间盘,时间热点,旋转对齐,发现覆盖字段,恢复伪造时间,时间错位可重试,已校准,OBJ-G03-009
HS-G03-0020,SCN-G03-04,超级订单排版台,组合热点,拖入字段卡,前三项完成,制作中央回收干扰订单,字段不一致退回,订单生成,OBJ-G03-010
HS-G03-0021,SCN-G03-05,腹仓闭合齿墙,危险观察,点击/七码分析,进入三层腹仓,显示闭合周期,靠近自动退回,显示安全窗口,OBJ-G03-011
HS-G03-0022,SCN-G03-05,紧急分流门A,路径热点,紧急分流柄,取得分流柄,开放安全路线一,错误方向可切回,锁定,OBJ-G03-011
HS-G03-0023,SCN-G03-05,紧急分流门B,路径热点,紧急分流柄,门A完成,开放安全路线二,错误方向可切回,锁定,OBJ-G03-011
HS-G03-0024,SCN-G03-05,关键货箱固定点,救援热点,磁力手套,安全路线开放,固定急救货箱,过晚退回上一节点,已固定,OBJ-G03-011
HS-G03-0025,SCN-G03-05,人员撤离节点,路线节点,点击排序,安全路线开放,完成撤离顺序,冲突退回一步,完成,OBJ-G03-012
HS-G03-0026,SCN-G03-06,主传动轴,装配热点,传动齿轮,进入输送脊柱,安装核心齿轮,错误齿轮退回,已安装,OBJ-G03-013
HS-G03-0027,SCN-G03-06,方向齿轮组,机制热点,拖拽齿轮,主轴完成,设置传送带方向,方向冲突可撤销,方向锁定,OBJ-G03-013
HS-G03-0028,SCN-G03-06,带速调节器,机制热点,滑杆,方向完成,设置安全带速,过快触发保护,速度锁定,OBJ-G03-013
HS-G03-0029,SCN-G03-06,四区分流门,机制热点,点击切换,带速完成,把货箱送到正确工坊,错误分流退回一步,分流完成,OBJ-G03-014
HS-G03-0030,SCN-G03-06,保险销槽,组合热点,保险销,分流完成,锁定传送带,错误位置提示,已锁定,OBJ-G03-014
HS-G03-0031,SCN-G03-07,需求条件节点,权限热点,提交真实需求表,管理员阶段1,解除需求夸大权限,证据不足不消耗,已解除,OBJ-G03-015
HS-G03-0032,SCN-G03-07,订单条件节点,权限热点,提交原稿与干扰订单,管理员阶段2,解除订单欺骗权限,字段冲突提示,已解除,OBJ-G03-015
HS-G03-0033,SCN-G03-07,运输条件节点,权限热点,提交传送带修复状态,管理员阶段3,解除物流劫持权限,未锁定保险销时拒绝,已解除,OBJ-G03-015
HS-G03-0034,SCN-G03-07,分配条件节点,权限热点,提交公开分配方案,管理员阶段4,解除自动分配权限,总量超限可重算,已解除,OBJ-G03-015
HS-G03-0035,SCN-G03-07,饥饿控制器,维修热点,小扳手/磁力手套,四项权限解除,断开夸大需求回路,条件不足不可接近,控制器断开,OBJ-G03-016
HS-G03-0036,SCN-G03-08,公开分配桌,机制入口,拖拽资源块,权限解除,完成UI-019分配,可撤销,公布方案,OBJ-G03-017
HS-G03-0037,SCN-G03-08,最低保障栏,规则热点,点击设置,进入分配会,锁定急救和供暖最低量,不足时阻止提交,已锁定,OBJ-G03-017
HS-G03-0038,SCN-G03-08,生产需求栏,规则热点,点击设置,最低保障完成,安排生产资源,超量时提示,已锁定,OBJ-G03-017
HS-G03-0039,SCN-G03-08,储备栏,规则热点,点击设置,生产安排完成,保留应急储备,储备不足阻止提交,已锁定,OBJ-G03-017
HS-G03-0040,SCN-G03-09,卡卡配送台,回访热点,点击,公开分配完成,验证急救弹簧送达,无,已验证,OBJ-G03-018
HS-G03-0041,SCN-G03-09,方盒姨账本,回访热点,点击,公开分配完成,验证库存与借用记录,无,已验证,OBJ-G03-018
HS-G03-0042,SCN-G03-09,饕餮控制室,回访热点,对话,公开分配完成,确认管理员恢复,无,完成,OBJ-G03-018
