状态ID,场景ID,状态码,状态名称,状态说明,进入条件,状态效果,存档规则
SCN-G02-03B-S3,SCN-G02-03B,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03B-S4,SCN-G02-03B,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03B-S5,SCN-G02-03B,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03B-S6,SCN-G02-03B,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03C-S0,SCN-G02-03C,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03C-S1,SCN-G02-03C,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03C-S2,SCN-G02-03C,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03C-S3,SCN-G02-03C,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03C-S4,SCN-G02-03C,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03C-S5,SCN-G02-03C,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03C-S6,SCN-G02-03C,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03D-S0,SCN-G02-03D,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03D-S1,SCN-G02-03D,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03D-S2,SCN-G02-03D,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03D-S3,SCN-G02-03D,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03D-S4,SCN-G02-03D,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03D-S5,SCN-G02-03D,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03D-S6,SCN-G02-03D,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-04-S0,SCN-G02-04,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-04-S1,SCN-G02-04,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-04-S2,SCN-G02-04,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-04-S3,SCN-G02-04,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-04-S4,SCN-G02-04,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-04-S5,SCN-G02-04,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-04-S6,SCN-G02-04,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-05-S0,SCN-G02-05,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-05-S1,SCN-G02-05,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-05-S2,SCN-G02-05,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-05-S3,SCN-G02-05,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-05-S4,SCN-G02-05,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-05-S5,SCN-G02-05,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-05-S6,SCN-G02-05,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-06-S0,SCN-G02-06,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-06-S1,SCN-G02-06,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-06-S2,SCN-G02-06,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-06-S3,SCN-G02-06,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-06-S4,SCN-G02-06,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-06-S5,SCN-G02-06,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-06-S6,SCN-G02-06,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-07-S0,SCN-G02-07,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-07-S1,SCN-G02-07,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-07-S2,SCN-G02-07,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-07-S3,SCN-G02-07,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-07-S4,SCN-G02-07,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-07-S5,SCN-G02-07,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-07-S6,SCN-G02-07,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
