热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,证据ID,目标ID
HS-G02-0019,SCN-G02-03C,8格供暖核心,伦理热点,扫描/对话,进入供暖棚,显示正在为三户供暖,强拿被系统阻止,保持原位直到替代供暖完成,EVD-G02-007,OBJ-G02-007
HS-G02-0020,SCN-G02-03C,发动机余热接口,组合热点,导热管,取得导热管,建立替代热源第一段,错误道具退回,连接完成,无,OBJ-G02-007
HS-G02-0021,SCN-G02-03C,居民棚风道,组合热点,旧风扇,导热管已连接,形成临时供暖,错误位置提示,风扇转动,无,OBJ-G02-007
HS-G02-0022,SCN-G02-03C,借用登记柱,登记热点,点击填写,替代供暖稳定,核心转为已登记借用,未稳定时条件不足,登记完成,EVD-G02-008,OBJ-G02-007
HS-G02-0023,SCN-G02-03D,漏电池塘,危险热点,观察/规划,无,显示不可直接通过,无,保持危险,无,OBJ-G02-008
HS-G02-0024,SCN-G02-03D,绝缘桥槽,组合热点,绝缘键帽板,找到键帽板,建立短而安全路线,错误板退回,桥完成,无,OBJ-G02-008
HS-G02-0025,SCN-G02-03D,导线节点A-D,路径节点,点击连接,已建立绝缘桥,完成MECH-003路径调度,线路交叉退回一步,路线锁定,无,OBJ-G02-008
HS-G02-0026,SCN-G02-04,磁力手套骨架,装配槽,皮手套,收齐部件,安装骨架,错误顺序提示,已安装,无,OBJ-G02-009
HS-G02-0027,SCN-G02-04,磁芯槽,装配槽,磁芯,骨架完成,安装磁芯,极性错误进入诊断,已安装,无,OBJ-G02-009
HS-G02-0028,SCN-G02-04,导线槽,装配槽,铜线,磁芯完成,安装导线,短路时退回当前步,已安装,无,OBJ-G02-009
HS-G02-0029,SCN-G02-04,极性切换器,诊断热点,点击切换,首次测试失败,纠正极性并完成MECH-002,无,正确极性,EVD-G02-009,OBJ-G02-009
HS-G02-0030,SCN-G02-05,豆包主电池盖,情绪热点,小扳手靠近,扫描提示第五块电池,转为对话并禁止拆卸,无,保持关闭,EVD-G02-010,OBJ-G02-010
HS-G02-0031,SCN-G02-05,备用电接口,调查热点,扫描,完成豆包对话,发现1格备用电与中止规则,无,标记为可连接,EVD-G02-011,OBJ-G02-010
HS-G02-0032,SCN-G02-05,旧电容柜,找物入口,点击找物,发现备用接口,获得旧电容与升压线,提示范围,空柜,无,OBJ-G02-010
HS-G02-0033,SCN-G02-06,三处登记柱,权限热点,提交归属证据,管理员阶段1,解除回收权限,证据不足不消耗,已登记,无,OBJ-G02-011
HS-G02-0034,SCN-G02-06,镜片反射台,机制热点,镜面屏片,管理员阶段2,把追踪标记导向废箱,角度错可重调,锁定角度,无,OBJ-G02-012
HS-G02-0035,SCN-G02-06,居民内授权柄,授权热点,交给居民,管理员阶段3,居民内部授权开启,主角直接操作被拒绝,已授权,无,OBJ-G02-013
HS-G02-0036,SCN-G02-06,五塔供能面板,综合机制,连接能源和线路,管理员阶段4,完成MECH-001资源网络,过载触发DANGER-005并软重置,五塔稳定,无,OBJ-G02-014
HS-G02-0037,SCN-G02-06,自动清算扣,维修热点,小扳手,前四项权限解除,解除惩戒权限,条件不足无法接近,控制扣断开,EVD-G02-012,OBJ-G02-015
HS-G02-0038,SCN-G02-06,星门十二格外环,稳定热点,持续监控,五塔接通,维持12秒完成章节核心目标,任一安全线触发自动保护,全部点亮,无,OBJ-G02-016
HS-G02-0039,SCN-G02-07,供暖核心归还槽,归还热点,拖入8格核心,章节权限解除,恢复居民供暖,无,归还完成,无,OBJ-G02-017
HS-G02-0040,SCN-G02-07,豆包备用电断开,归还热点,点击确认,章节权限解除,确认豆包安全状态,无,安全断开,无,OBJ-G02-017
HS-G02-0041,SCN-G02-07,阿铆工具台,归还热点,拖入借用工具,章节权限解除,完成工具归还,无,归还完成,无,OBJ-G02-017
