热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G12-0019,SCN-G12-04,姿态稳定窗-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进姿态稳定窗对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-005
HS-G12-0020,SCN-G12-04,姿态稳定窗-完成确认,完成确认,提交/确认,机制条件全部满足,完成姿态稳定窗并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-005
HS-G12-0021,SCN-G12-05,质量缺口-调查证据,调查证据,点击/扫描,进入场景,记录质量缺口的关键证据,无,已读,OBJ-G12-006
HS-G12-0022,SCN-G12-05,质量缺口-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得质量缺口所需工具或证据,提示缩小范围,找物完成,OBJ-G12-006
HS-G12-0023,SCN-G12-05,质量缺口-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进质量缺口对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-006
HS-G12-0024,SCN-G12-05,质量缺口-完成确认,完成确认,提交/确认,机制条件全部满足,完成质量缺口并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-006
HS-G12-0025,SCN-G12-06,复核闭环-调查证据,调查证据,点击/扫描,进入场景,记录复核闭环的关键证据,无,已读,OBJ-G12-007
HS-G12-0026,SCN-G12-06,复核闭环-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得复核闭环所需工具或证据,提示缩小范围,找物完成,OBJ-G12-007
HS-G12-0027,SCN-G12-06,复核闭环-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进复核闭环对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-007
HS-G12-0028,SCN-G12-06,复核闭环-完成确认,完成确认,提交/确认,机制条件全部满足,完成复核闭环并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-007
HS-G12-0029,SCN-G12-07,女娲权限解除-调查证据,调查证据,点击/扫描,进入场景,记录女娲权限解除的关键证据,无,已读,OBJ-G12-008
HS-G12-0030,SCN-G12-07,女娲权限解除-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得女娲权限解除所需工具或证据,提示缩小范围,找物完成,OBJ-G12-008
HS-G12-0031,SCN-G12-07,女娲权限解除-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进女娲权限解除对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-008
HS-G12-0032,SCN-G12-07,女娲权限解除-完成确认,完成确认,提交/确认,机制条件全部满足,完成女娲权限解除并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-008
HS-G12-0033,SCN-G12-08,星环恢复-调查证据,调查证据,点击/扫描,进入场景,记录星环恢复的关键证据,无,已读,OBJ-G12-009
HS-G12-0034,SCN-G12-08,星环恢复-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得星环恢复所需工具或证据,提示缩小范围,找物完成,OBJ-G12-009
HS-G12-0035,SCN-G12-08,星环恢复-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进星环恢复对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-009
HS-G12-0036,SCN-G12-08,星环恢复-完成确认,完成确认,提交/确认,机制条件全部满足,完成星环恢复并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-009
HS-G12-0037,SCN-G12-09,回访与结算-调查证据,调查证据,点击/扫描,进入场景,记录回访与结算的关键证据,无,已读,OBJ-G12-010
HS-G12-0038,SCN-G12-09,回访与结算-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得回访与结算所需工具或证据,提示缩小范围,找物完成,OBJ-G12-010
HS-G12-0039,SCN-G12-09,回访与结算-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进回访与结算对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-010
HS-G12-0040,SCN-G12-09,回访与结算-完成确认,完成确认,提交/确认,机制条件全部满足,完成回访与结算并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-010
