热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G11-0014,SCN-G11-03,维护通道争议-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得维护通道争议所需工具或证据,提示缩小范围,找物完成,OBJ-G11-004
HS-G11-0015,SCN-G11-03,维护通道争议-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进维护通道争议对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-004
HS-G11-0016,SCN-G11-03,维护通道争议-完成确认,完成确认,提交/确认,机制条件全部满足,完成维护通道争议并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-004
HS-G11-0017,SCN-G11-04,受力分散阵-调查证据,调查证据,点击/扫描,进入场景,记录受力分散阵的关键证据,无,已读,OBJ-G11-005
HS-G11-0018,SCN-G11-04,受力分散阵-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得受力分散阵所需工具或证据,提示缩小范围,找物完成,OBJ-G11-005
HS-G11-0019,SCN-G11-04,受力分散阵-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进受力分散阵对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-005
HS-G11-0020,SCN-G11-04,受力分散阵-完成确认,完成确认,提交/确认,机制条件全部满足,完成受力分散阵并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-005
HS-G11-0021,SCN-G11-05,机械臂碰撞-调查证据,调查证据,点击/扫描,进入场景,记录机械臂碰撞的关键证据,无,已读,OBJ-G11-006
HS-G11-0022,SCN-G11-05,机械臂碰撞-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得机械臂碰撞所需工具或证据,提示缩小范围,找物完成,OBJ-G11-006
HS-G11-0023,SCN-G11-05,机械臂碰撞-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进机械臂碰撞对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-006
HS-G11-0024,SCN-G11-05,机械臂碰撞-完成确认,完成确认,提交/确认,机制条件全部满足,完成机械臂碰撞并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-006
HS-G11-0025,SCN-G11-06,关节避障维修-调查证据,调查证据,点击/扫描,进入场景,记录关节避障维修的关键证据,无,已读,OBJ-G11-007
HS-G11-0026,SCN-G11-06,关节避障维修-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得关节避障维修所需工具或证据,提示缩小范围,找物完成,OBJ-G11-007
HS-G11-0027,SCN-G11-06,关节避障维修-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进关节避障维修对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-007
HS-G11-0028,SCN-G11-06,关节避障维修-完成确认,完成确认,提交/确认,机制条件全部满足,完成关节避障维修并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-007
HS-G11-0029,SCN-G11-07,帝江权限解除-调查证据,调查证据,点击/扫描,进入场景,记录帝江权限解除的关键证据,无,已读,OBJ-G11-008
HS-G11-0030,SCN-G11-07,帝江权限解除-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得帝江权限解除所需工具或证据,提示缩小范围,找物完成,OBJ-G11-008
HS-G11-0031,SCN-G11-07,帝江权限解除-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进帝江权限解除对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-008
HS-G11-0032,SCN-G11-07,帝江权限解除-完成确认,完成确认,提交/确认,机制条件全部满足,完成帝江权限解除并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-008
HS-G11-0033,SCN-G11-08,工厂恢复-调查证据,调查证据,点击/扫描,进入场景,记录工厂恢复的关键证据,无,已读,OBJ-G11-009
HS-G11-0034,SCN-G11-08,工厂恢复-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得工厂恢复所需工具或证据,提示缩小范围,找物完成,OBJ-G11-009
HS-G11-0035,SCN-G11-08,工厂恢复-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进工厂恢复对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-009
HS-G11-0036,SCN-G11-08,工厂恢复-完成确认,完成确认,提交/确认,机制条件全部满足,完成工厂恢复并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-009
HS-G11-0037,SCN-G11-09,回访与结算-调查证据,调查证据,点击/扫描,进入场景,记录回访与结算的关键证据,无,已读,OBJ-G11-010
HS-G11-0038,SCN-G11-09,回访与结算-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得回访与结算所需工具或证据,提示缩小范围,找物完成,OBJ-G11-010
HS-G11-0039,SCN-G11-09,回访与结算-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进回访与结算对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G11-010
HS-G11-0040,SCN-G11-09,回访与结算-完成确认,完成确认,提交/确认,机制条件全部满足,完成回访与结算并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G11-010
