热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G06-0018,SCN-G06-04,能源罐站-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得能源罐站所需工具或证据,提示缩小范围,找物完成,OBJ-G06-005
HS-G06-0019,SCN-G06-04,能源罐站-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进能源罐站对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-005
HS-G06-0020,SCN-G06-04,能源罐站-完成确认,完成确认,提交/确认,机制条件全部满足,完成能源罐站并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-005
HS-G06-0021,SCN-G06-05,断桥试搭失败-调查证据,调查证据,点击/扫描,进入场景,记录断桥试搭失败的关键证据,无,已读,OBJ-G06-006
HS-G06-0022,SCN-G06-05,断桥试搭失败-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得断桥试搭失败所需工具或证据,提示缩小范围,找物完成,OBJ-G06-006
HS-G06-0023,SCN-G06-05,断桥试搭失败-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进断桥试搭失败对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-006
HS-G06-0024,SCN-G06-05,断桥试搭失败-完成确认,完成确认,提交/确认,机制条件全部满足,完成断桥试搭失败并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-006
HS-G06-0025,SCN-G06-06,岛链同步维修-调查证据,调查证据,点击/扫描,进入场景,记录岛链同步维修的关键证据,无,已读,OBJ-G06-007
HS-G06-0026,SCN-G06-06,岛链同步维修-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得岛链同步维修所需工具或证据,提示缩小范围,找物完成,OBJ-G06-007
HS-G06-0027,SCN-G06-06,岛链同步维修-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进岛链同步维修对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-007
HS-G06-0028,SCN-G06-06,岛链同步维修-完成确认,完成确认,提交/确认,机制条件全部满足,完成岛链同步维修并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-007
HS-G06-0029,SCN-G06-07,共工权限解除-调查证据,调查证据,点击/扫描,进入场景,记录共工权限解除的关键证据,无,已读,OBJ-G06-008
HS-G06-0030,SCN-G06-07,共工权限解除-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得共工权限解除所需工具或证据,提示缩小范围,找物完成,OBJ-G06-008
HS-G06-0031,SCN-G06-07,共工权限解除-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进共工权限解除对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-008
HS-G06-0032,SCN-G06-07,共工权限解除-完成确认,完成确认,提交/确认,机制条件全部满足,完成共工权限解除并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-008
HS-G06-0033,SCN-G06-08,九岛重连-调查证据,调查证据,点击/扫描,进入场景,记录九岛重连的关键证据,无,已读,OBJ-G06-009
HS-G06-0034,SCN-G06-08,九岛重连-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得九岛重连所需工具或证据,提示缩小范围,找物完成,OBJ-G06-009
HS-G06-0035,SCN-G06-08,九岛重连-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进九岛重连对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-009
HS-G06-0036,SCN-G06-08,九岛重连-完成确认,完成确认,提交/确认,机制条件全部满足,完成九岛重连并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-009
HS-G06-0037,SCN-G06-09,回访与结算-调查证据,调查证据,点击/扫描,进入场景,记录回访与结算的关键证据,无,已读,OBJ-G06-010
HS-G06-0038,SCN-G06-09,回访与结算-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得回访与结算所需工具或证据,提示缩小范围,找物完成,OBJ-G06-010
HS-G06-0039,SCN-G06-09,回访与结算-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进回访与结算对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G06-010
HS-G06-0040,SCN-G06-09,回访与结算-完成确认,完成确认,提交/确认,机制条件全部满足,完成回访与结算并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G06-010
